幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,27.21000,27.56000,27.55700,27.55700,27.55500,27.54700,27.53600,27.52000,27.50300,本行賣出,27.88000,27.66000,27.66500,27.66500,27.66500,27.66300,27.66100,27.66000,27.64800,
HKD,本行買入,3.38600,3.51200,3.51100,3.51000,3.51100,3.51000,3.50900,3.50800,3.50600,本行賣出,3.59000,3.57200,3.57300,3.57400,3.57400,3.57400,3.57400,3.57500,3.57500,
GBP,本行買入,36.46000,37.47000,37.46200,37.44600,37.44000,37.42700,37.40100,37.37600,37.35000,本行賣出,38.58000,37.87000,37.87700,37.89100,37.88500,37.87800,37.87000,37.86100,37.85300,
AUD,本行買入,19.48000,19.77000,19.76600,19.75900,19.76100,19.75900,19.75300,19.74700,19.74200,本行賣出,20.26000,19.97000,19.97500,19.98500,19.98400,19.98500,19.98700,19.98900,19.99200,
CAD,本行買入,21.57000,21.97000,21.96600,21.95800,21.95600,21.95000,21.93600,21.92200,21.90800,本行賣出,22.48000,22.17000,22.17500,22.18500,22.18200,22.17900,22.17400,22.16900,22.16400,
SGD,本行買入,19.91000,20.40000,20.39300,20.38000,20.37600,20.37200,20.36400,20.35600,20.34700,本行賣出,20.82000,20.58000,20.58400,20.59300,20.58800,20.58600,20.58600,20.58600,20.58600,
CHF,本行買入,29.35000,30.03000,30.03000,30.02900,30.05400,30.07700,30.09500,30.11300,30.13100,本行賣出,30.55000,30.28000,30.29800,30.33300,30.34800,30.37700,30.40700,30.43700,30.46800,
JPY,本行買入,0.23120,0.23850,0.23850,0.23850,0.23860,0.23860,0.23860,0.23870,0.23870,本行賣出,0.24400,0.24250,0.24260,0.24270,0.24270,0.24280,0.24290,0.24310,0.24320,
ZAR,本行買入,0.00000,1.74800,1.74500,1.73900,1.73200,1.72400,1.71600,1.70900,1.70100,本行賣出,0.00000,1.82800,1.82600,1.82300,1.81600,1.80800,1.80100,1.79400,1.78800,
SEK,本行買入,2.67000,3.01000,3.00900,3.00800,3.00900,3.00900,3.00900,3.00900,3.00900,本行賣出,3.19000,3.11000,3.11100,3.11400,3.11400,3.11600,3.11700,3.11800,3.11900,
NZD,本行買入,18.24000,18.62000,18.61300,18.60000,18.59000,18.57500,18.55100,18.52700,18.50400,本行賣出,19.09000,18.82000,18.82200,18.82500,18.81500,18.80200,18.78600,18.76900,18.75200,
THB,本行買入,0.70780,0.82020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.89780,0.86020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46350,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00158,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,30.66000,31.28000,31.28300,31.28900,31.30500,31.32500,31.33700,31.34800,31.36000,本行賣出,32.00000,31.68000,31.69400,31.72300,31.74200,31.76800,31.79300,31.81900,31.84500,
KRW,本行買入,0.02146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02536,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00099,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00140,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.58800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.06800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.25300,4.32500,4.32170,4.31500,4.30710,4.29840,4.28840,4.27840,4.26840,本行賣出,4.41500,4.37500,4.37300,4.36890,4.36300,4.35620,4.34950,4.34290,4.33620,
