幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,27.27000,27.62000,27.61700,27.61700,27.61600,27.60600,27.59500,27.57800,27.55900,本行賣出,27.94000,27.72000,27.72500,27.72500,27.72500,27.72300,27.72000,27.71700,27.70400,
HKD,本行買入,3.39500,3.52100,3.52000,3.51900,3.52000,3.51900,3.51800,3.51700,3.51500,本行賣出,3.59900,3.58100,3.58200,3.58300,3.58300,3.58300,3.58300,3.58400,3.58400,
GBP,本行買入,36.31000,37.32000,37.31200,37.29600,37.29000,37.27700,37.25100,37.22600,37.20000,本行賣出,38.43000,37.72000,37.72700,37.74100,37.73500,37.72800,37.72000,37.71100,37.70300,
AUD,本行買入,19.48000,19.77000,19.76600,19.75900,19.76100,19.75900,19.75300,19.74700,19.74200,本行賣出,20.26000,19.97000,19.97500,19.98500,19.98400,19.98500,19.98700,19.98900,19.99200,
CAD,本行買入,21.52000,21.92000,21.91600,21.90800,21.90600,21.90000,21.88600,21.87200,21.85800,本行賣出,22.43000,22.12000,22.12500,22.13500,22.13200,22.12900,22.12400,22.11900,22.11400,
SGD,本行買入,20.00000,20.49000,20.48300,20.47000,20.46600,20.46200,20.45400,20.44600,20.43700,本行賣出,20.91000,20.67000,20.67400,20.68300,20.67800,20.67600,20.67600,20.67600,20.67600,
CHF,本行買入,29.54000,30.22000,30.22000,30.21900,30.24400,30.26700,30.28500,30.30300,30.32100,本行賣出,30.74000,30.47000,30.48800,30.52300,30.53800,30.56700,30.59700,30.62700,30.65800,
JPY,本行買入,0.23460,0.24190,0.24190,0.24190,0.24190,0.24200,0.24200,0.24200,0.24210,本行賣出,0.24740,0.24590,0.24600,0.24610,0.24620,0.24630,0.24640,0.24650,0.24660,
ZAR,本行買入,0.00000,1.79100,1.78800,1.78200,1.77500,1.76700,1.75900,1.75200,1.74400,本行賣出,0.00000,1.87100,1.86900,1.86600,1.85900,1.85100,1.84400,1.83700,1.83100,
SEK,本行買入,2.62000,2.96000,2.95900,2.95800,2.95900,2.95900,2.95900,2.95900,2.95900,本行賣出,3.14000,3.06000,3.06100,3.06400,3.06400,3.06600,3.06700,3.06800,3.06900,
NZD,本行買入,18.12000,18.50000,18.49300,18.48000,18.47000,18.45500,18.43100,18.40700,18.38400,本行賣出,18.97000,18.70000,18.70200,18.70500,18.69500,18.68200,18.66600,18.64900,18.63200,
THB,本行買入,0.71310,0.82550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.90310,0.86550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.46630,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.59930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00158,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00228,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,30.57000,31.19000,31.19200,31.19700,31.21400,31.23500,31.24600,31.25800,31.27000,本行賣出,31.91000,31.59000,31.60400,31.63300,31.65500,31.68000,31.70600,31.73200,31.75800,
KRW,本行買入,0.02147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.59800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.07800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.26500,4.33700,4.33330,4.32580,4.31470,4.30860,4.29870,4.28880,4.27890,本行賣出,4.42700,4.38700,4.38530,4.38190,4.37580,4.36580,4.36000,4.35420,4.34840,
